date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241122,warriors,pelicans,-10.5,10.5,223.5,112,108,114.2,108.2,50.2,13.9,57.5,102.33,53.3,105.2,121.6,49.4,16.6,52.8,95.5,41.8
20241122,pacers,bucks,5.5,-5.5,237.5,117,129,113.5,117.3,47.1,14.1,59.7,100.2,48.9,113.0,110.6,49.2,13.2,58.3,97.34,51.3
20241122,hawks,bulls,-1.5,1.5,244.5,122,136,109.1,112.9,51.2,15.9,55.3,103.95,49.4,113.1,122.0,48.0,15.4,59.0,103.45,45.8
20241122,blazers,rockets,12.5,-12.5,223.5,88,116,106.0,113.3,48.1,17.5,53.6,100.8,44.1,113.1,101.7,54.5,13.4,55.2,102.55,56.6
20241122,mavericks,nuggets,2.5,-2.5,226.5,123,120,117.6,108.8,51.4,14.2,60.2,100.35,53.8,116.4,113.0,51.4,13.9,59.4,101.69,52.6
20241122,kings,clippers,-2.5,2.5,220.5,88,104,115.7,114.1,51.0,14.2,59.2,97.6,51.1,111.9,109.3,52.0,17.4,58.3,97.75,50.6
20241123,knicks,jazz,-9.5,9.5,235.5,106,121,122.3,116.7,52.4,12.8,62.0,97.35,53.9,113.6,120.7,50.7,17.5,59.5,99.95,46.5
20241123,pistons,magic,9.5,-9.5,206.5,100,111,112.2,110.1,51.6,14.4,55.3,98.91,50.5,110.6,102.7,51.0,15.7,56.6,96.0,54.6
20241123,grizzlies,bulls,-4.5,4.5,243.5,142,131,115.0,106.0,53.7,17.0,58.1,103.5,55.9,113.5,120.0,48.5,16.3,60.2,104.0,47.1
20241123,blazers,rockets,13.5,-13.5,226.5,104,98,103.1,110.9,48.2,17.6,52.1,101.1,43.5,112.6,99.7,54.2,13.8,55.1,103.6,57.4
20241123,hornets,bucks,7.5,-7.5,224.5,119,125,107.2,112.1,51.4,15.7,54.4,97.57,46.7,113.6,109.8,48.9,13.6,58.9,98.28,52.1
20241123,warriors,spurs,-3.5,3.5,228.5,94,104,114.3,109.3,50.7,14.1,57.5,102.98,52.7,113.0,113.3,49.1,15.4,59.0,100.1,51.6
20241123,nuggets,lakers,4.5,-4.5,235.5,127,102,114.6,111.9,51.3,14.9,58.6,102.3,52.1,120.1,117.5,46.4,11.9,60.3,98.25,52.4
20241124,timberwolves,celtics,8.5,-8.5,221.5,105,107,113.7,111.0,49.7,16.1,59.1,98.52,50.4,118.9,110.3,49.0,12.8,59.9,97.03,53.5
20241124,wizards,pacers,11.5,-11.5,241.5,103,115,102.7,119.7,46.9,15.3,53.2,102.75,41.3,112.5,116.8,47.6,14.2,59.1,100.95,48.7
20241124,mavericks,heat,2.5,-2.5,222.5,118,123,119.1,112.3,51.4,13.6,60.5,100.35,52.7,113.1,112.1,50.4,13.1,56.9,98.28,49.0
20241124,clippers,76ers,-1.5,1.5,211.5,125,99,110.1,106.7,52.7,17.4,57.6,98.6,51.4,105.3,111.8,47.5,14.9,55.0,96.84,45.7
20241124,raptors,cavaliers,11.5,-11.5,234.5,108,122,110.7,114.1,50.7,15.9,55.2,98.16,47.5,123.7,113.9,51.4,13.3,63.8,99.75,55.2
20241124,nets,kings,9.5,-9.5,223.5,108,103,112.6,119.1,45.9,15.1,58.3,93.77,45.3,113.5,113.2,50.6,14.1,58.4,97.03,50.6
20241125,magic,hornets,-5.5,5.5,213.5,95,84,114.2,103.6,51.8,15.4,57.7,95.1,56.2,108.1,112.6,51.7,15.3,54.4,98.25,47.0
